Column1,Column2
"Jayasuriya to Abid Ali, 1 run, turns it away from the short fine leg fielder using his wrists and takes a single",14.5
"Jayasuriya to Abid Ali, no run, takes a good stride forward and works it straight to square leg",14.4
"Jayasuriya to Fakhar Zaman, 1 run, punched down the ground to long-off",14.3
"Jayasuriya to Abid Ali, 1 run, punches it down the ground to long-on",14.2
"Jayasuriya to Abid Ali, no run, goes back and works it to short fine leg",14.1
"Wanidu Hasaranga to Fakhar Zaman, no run, blocked back to the bowler with a straight bat",13.6
"Wanidu Hasaranga to Abid Ali, 3 runs, opens the face of the bat and steers it wide of short third man. It will be stopped inside the fence but Abid Ali will come back for a three",13.5
"Wanidu Hasaranga to Abid Ali, no run, now, a wrong 'un from Wanidu Hasaranga! Abid Ali fails to pick it up and he was almost beaten, he manages to get some inside edge and that saves him",13.4
"Wanidu Hasaranga to Abid Ali, no run, full and spinning away from Abid Ali, he comes on the front foot and pushes it away to backward point",13.3
"Wanidu Hasaranga to Abid Ali, no run, this was wide of off and Abid Ali defends it to the off-side",13.2
"Wanidu Hasaranga to Abid Ali, no run, defended back to the bowler",13.1
