Column1,Column2
"Shami to Munro, 1 run, good stop by Rohit with a dive at cover. This sounded great off the bat, a crunchy back foot punch from Munro but will only get himself a single",7.1
"Bhuvneshwar to Williamson, no run, back of a length and Williamson stands tall to punch this towards point",6.6
"Bhuvneshwar to Munro, 1 run, the knuckle ball, on a good length and Munro was probably surprised by it. Inside edges this towards mid-wicket",6.5
"Bhuvneshwar to Munro, no run, good change of pace, saw Munro backing away and delivered an off cutter. Goes off the outside edge towards the short third man fielder who is a touch finer",6.4
"Bhuvneshwar to Munro, no run, good response from Bhuvi, fine yorker around off and it's dug out to point",6.3
"Bhuvneshwar to Munro, FOUR, told ya! He ain't gonna die wondering. In the slot around off, Munro just clears his front leg and clobbers this over mid-wicket after taking a couple of steps down the track. This should be an interesting over",6.2
"Bhuvneshwar to Munro, no run, probes away around the off pole on a good length, Munro pats this towards cover",6.1
"Shami to Williamson, no run, muted LBW appeal that dies down rather instantly. A tad too high as this struck Williamson near the thigh area. Was the nipbacker from Shami and pinned Williamson on the crease as he tried to work across the line",5.6
"Shami to Williamson, no run, angling in from outside off, Williamson moves forward and blocks it towards cover",5.5
"Shami to Williamson, 2 runs, almost chopped onto the sticks! Near replica of KW's dismissal in the first ODI except that he didn't get bowled. Short of a length and seaming into him, he tried the cut stroke and got a thick inside edge that just missed leg stump down to fine leg. Come to think of it, the bowler was Shami in that game too",5.4
"Shami to Williamson, no run, fourth stump line on a length, dabbed with soft hands towards gully",5.3
"Shami to Williamson, no run, slight excitement for LBW but a faint inside edge onto the pad there. Nipbacker from Shami and Williamson was rooted on the crease as he looked to defend around the front pad",5.2
